date,district_id,district_name,commodity_name,state_name,avg_modal_price,avg_min_price,avg_max_price,calculationType,change
2024-11-25,497,Nandurbar,Wheat,Maharashtra,2926.0,2400.0,3141.0,Daily,-99.0
2024-11-22,497,Nandurbar,Wheat,Maharashtra,3025.0,2650.0,3215.0,Daily,-37.5
2024-11-21,497,Nandurbar,Wheat,Maharashtra,3062.5,2975.0,3150.0,Daily,407.5
2024-11-18,497,Nandurbar,Wheat,Maharashtra,2655.0,2590.5,2800.5,Daily,5.0
2024-11-16,497,Nandurbar,Wheat,Maharashtra,2650.0,2500.0,2800.0,Daily,150.0
2024-11-15,497,Nandurbar,Wheat,Maharashtra,2500.0,2000.0,2681.0,Daily,-577.0
2024-11-14,497,Nandurbar,Wheat,Maharashtra,3077.0,3077.0,3077.0,Daily,202.0
2024-11-13,497,Nandurbar,Wheat,Maharashtra,2875.0,2850.0,2900.0,Daily,50.0
2024-11-12,497,Nandurbar,Wheat,Maharashtra,2825.0,2200.0,3142.0,Daily,-116.0
2024-11-11,497,Nandurbar,Wheat,Maharashtra,2941.0,2650.0,3448.0,Daily,-43.5
2024-11-08,497,Nandurbar,Wheat,Maharashtra,2984.5,2734.5,3253.0,Daily,84.5
2024-11-07,497,Nandurbar,Wheat,Maharashtra,2900.0,2758.0,3074.5,Daily,-15.0
2024-11-06,497,Nandurbar,Wheat,Maharashtra,2915.0,2838.0,3090.0,Daily,-57.0
2024-11-05,497,Nandurbar,Wheat,Maharashtra,2972.0,2972.0,3300.0,Daily,77.0
2024-11-04,497,Nandurbar,Wheat,Maharashtra,2895.0,2800.0,3401.0,Daily,-136.0
2024-10-29,497,Nandurbar,Wheat,Maharashtra,3031.0,3031.0,3031.0,Daily,280.0
2024-10-28,497,Nandurbar,Wheat,Maharashtra,2751.0,2675.0,2830.0,Daily,51.0
2024-10-26,497,Nandurbar,Wheat,Maharashtra,2700.0,2700.0,2700.0,Daily,-12.5
2024-10-25,497,Nandurbar,Wheat,Maharashtra,2712.5,2625.0,2811.5,Daily,112.5
2024-10-24,497,Nandurbar,Wheat,Maharashtra,2600.0,2425.0,2783.5,Daily,-143.33
2024-10-23,497,Nandurbar,Wheat,Maharashtra,2743.33,2350.0,2805.33,Daily,23.33
2024-10-22,497,Nandurbar,Wheat,Maharashtra,2720.0,2275.0,2815.5,Daily,234.0
2024-10-21,497,Nandurbar,Wheat,Maharashtra,2486.0,2175.0,2690.0,Daily,-284.0
2024-10-18,497,Nandurbar,Wheat,Maharashtra,2770.0,2723.5,2820.0,Daily,-241.0
2024-10-17,497,Nandurbar,Wheat,Maharashtra,3011.0,3011.0,3011.0,Daily,242.0
2024-10-16,497,Nandurbar,Wheat,Maharashtra,2769.0,2455.0,2909.5,Daily,69.0
2024-10-15,497,Nandurbar,Wheat,Maharashtra,2700.0,2601.0,2800.0,Daily,-111.0
2024-10-14,497,Nandurbar,Wheat,Maharashtra,2811.0,2741.0,2831.0,Daily,178.5
2024-10-11,497,Nandurbar,Wheat,Maharashtra,2632.5,2632.5,2682.5,Daily,-48.5
2024-10-10,497,Nandurbar,Wheat,Maharashtra,2681.0,2681.0,2681.0,Daily,48.0
2024-10-09,497,Nandurbar,Wheat,Maharashtra,2633.0,2520.5,2797.5,Daily,83.0
2024-10-07,497,Nandurbar,Wheat,Maharashtra,2550.0,2300.0,2826.0,Daily,-160.5
2024-10-04,497,Nandurbar,Wheat,Maharashtra,2710.5,2638.0,2843.5,Daily,35.5
2024-10-01,497,Nandurbar,Wheat,Maharashtra,2675.0,2625.5,2893.5,Daily,-39.5
2024-09-30,497,Nandurbar,Wheat,Maharashtra,2714.5,2624.0,2838.5,Daily,14.5
2024-09-27,497,Nandurbar,Wheat,Maharashtra,2700.0,2650.0,2732.0,Daily,-37.5
2024-09-26,497,Nandurbar,Wheat,Maharashtra,2737.5,2700.5,2850.0,Daily,80.0
2024-09-25,497,Nandurbar,Wheat,Maharashtra,2657.5,2563.0,2881.5,Daily,-7.5
2024-09-24,497,Nandurbar,Wheat,Maharashtra,2665.0,2450.0,2882.0,Daily,-25.0
2024-09-23,497,Nandurbar,Wheat,Maharashtra,2690.0,2563.0,2793.0,Daily,24.0
2024-09-20,497,Nandurbar,Wheat,Maharashtra,2666.0,2600.0,2801.0,Daily,-48.5
2024-09-19,497,Nandurbar,Wheat,Maharashtra,2714.5,2538.0,2881.0,Daily,32.0
2024-09-18,497,Nandurbar,Wheat,Maharashtra,2682.5,2480.0,2811.0,Daily,-18.0
2024-09-13,497,Nandurbar,Wheat,Maharashtra,2700.5,2520.5,2793.5,Daily,-39.5
2024-09-12,497,Nandurbar,Wheat,Maharashtra,2740.0,2740.0,2765.0,Daily,7.0
2024-09-11,497,Nandurbar,Wheat,Maharashtra,2733.0,2665.5,2765.5,Daily,-10.5
2024-09-10,497,Nandurbar,Wheat,Maharashtra,2743.5,2643.5,2819.0,Daily,68.5
2024-09-09,497,Nandurbar,Wheat,Maharashtra,2675.0,2637.5,2800.5,Daily,-120.5
2024-09-06,497,Nandurbar,Wheat,Maharashtra,2795.5,2576.0,2915.0,Daily,95.5
2024-09-05,497,Nandurbar,Wheat,Maharashtra,2700.0,2576.0,2810.0,Daily,12.5
2024-09-03,497,Nandurbar,Wheat,Maharashtra,2687.5,2637.5,2858.0,Daily,-119.5
2024-08-30,497,Nandurbar,Wheat,Maharashtra,2807.0,2575.5,2960.5,Daily,57.0
2024-08-29,497,Nandurbar,Wheat,Maharashtra,2750.0,2720.5,2884.5,Daily,70.0
2024-08-28,497,Nandurbar,Wheat,Maharashtra,2680.0,2680.0,2680.0,Daily,10.0
2024-08-27,497,Nandurbar,Wheat,Maharashtra,2670.0,2585.5,2918.5,Daily,55.0
2024-08-23,497,Nandurbar,Wheat,Maharashtra,2615.0,2615.0,2900.0,Daily,-97.5
2024-08-22,497,Nandurbar,Wheat,Maharashtra,2712.5,2601.0,2813.0,Daily,12.0
2024-08-20,497,Nandurbar,Wheat,Maharashtra,2700.5,2613.0,2808.0,Daily,-124.5
2024-08-14,497,Nandurbar,Wheat,Maharashtra,2825.0,2548.0,2938.0,Daily,150.0
2024-08-13,497,Nandurbar,Wheat,Maharashtra,2675.0,2548.0,2877.5,Daily,-87.5
2024-08-12,497,Nandurbar,Wheat,Maharashtra,2762.5,2755.0,2770.5,Daily,129.5
2024-08-08,497,Nandurbar,Wheat,Maharashtra,2633.0,2507.5,2725.0,Daily,-57.0
2024-08-07,497,Nandurbar,Wheat,Maharashtra,2690.0,2648.0,2795.0,Daily,165.0
2024-08-06,497,Nandurbar,Wheat,Maharashtra,2525.0,2250.0,2725.0,Daily,-123.0
2024-08-05,497,Nandurbar,Wheat,Maharashtra,2648.0,2618.0,2783.0,Daily,-3.0
2024-07-31,497,Nandurbar,Wheat,Maharashtra,2651.0,2500.0,2800.0,Daily,3.0
2024-07-30,497,Nandurbar,Wheat,Maharashtra,2648.0,2386.0,2793.0,Daily,-0.0
2024-07-26,497,Nandurbar,Wheat,Maharashtra,2648.0,2507.0,2760.0,Daily,104.5
