,avg_modal_price,avg_min_price,avg_max_price,month,year,date,district_name,commodity_name,state_name
99,2665.0,2450.0,2882.0,9,2024,24,981,30501,30501
100,2690.0,2563.0,2793.0,9,2024,23,981,30501,30501
101,2666.0,2600.0,2801.0,9,2024,20,981,30501,30501
102,2714.5,2538.0,2881.0,9,2024,19,981,30501,30501
103,2682.5,2480.0,2811.0,9,2024,18,981,30501,30501
104,2700.5,2520.5,2793.5,9,2024,13,981,30501,30501
105,2740.0,2740.0,2765.0,9,2024,12,981,30501,30501
106,2733.0,2665.5,2765.5,9,2024,11,981,30501,30501
107,2743.5,2643.5,2819.0,9,2024,10,981,30501,30501
108,2675.0,2637.5,2800.5,9,2024,9,981,30501,30501
109,2795.5,2576.0,2915.0,9,2024,6,981,30501,30501
110,2700.0,2576.0,2810.0,9,2024,5,981,30501,30501
111,2687.5,2637.5,2858.0,9,2024,3,981,30501,30501
112,2807.0,2575.5,2960.5,8,2024,30,981,30501,30501
113,2750.0,2720.5,2884.5,8,2024,29,981,30501,30501
114,2680.0,2680.0,2680.0,8,2024,28,981,30501,30501
115,2670.0,2585.5,2918.5,8,2024,27,981,30501,30501
116,2615.0,2615.0,2900.0,8,2024,23,981,30501,30501
117,2712.5,2601.0,2813.0,8,2024,22,981,30501,30501
118,2700.5,2613.0,2808.0,8,2024,20,981,30501,30501
119,2825.0,2548.0,2938.0,8,2024,14,981,30501,30501
120,2675.0,2548.0,2877.5,8,2024,13,981,30501,30501
121,2762.5,2755.0,2770.5,8,2024,12,981,30501,30501
122,2633.0,2507.5,2725.0,8,2024,8,981,30501,30501
123,2690.0,2648.0,2795.0,8,2024,7,981,30501,30501
124,2525.0,2250.0,2725.0,8,2024,6,981,30501,30501
125,2648.0,2618.0,2783.0,8,2024,5,981,30501,30501
126,2651.0,2500.0,2800.0,7,2024,31,981,30501,30501
127,2648.0,2386.0,2793.0,7,2024,30,981,30501,30501
128,2648.0,2507.0,2760.0,7,2024,26,981,30501,30501
129,2543.5,2496.5,2588.5,7,2024,25,981,30501,30501
130,2830.0,2800.0,2861.0,7,2024,24,981,30501,30501
131,2680.0,2401.0,2825.0,7,2024,23,981,30501,30501
132,2437.5,2337.5,2585.5,7,2024,22,981,30501,30501
133,2588.0,2426.0,2640.5,7,2024,19,981,30501,30501
134,2711.0,2501.0,2784.0,7,2024,18,981,30501,30501
135,2637.5,2500.5,2794.0,7,2024,16,981,30501,30501
136,2947.0,2947.0,2947.0,7,2024,15,981,30501,30501
137,1800.0,1800.0,1800.0,7,2024,11,981,30501,30501
138,2700.0,2400.0,2825.0,7,2024,10,981,30501,30501
139,2673.0,2600.0,2700.0,7,2024,9,981,30501,30501
140,2550.0,2425.0,2650.0,7,2024,8,981,30501,30501
141,2685.0,2499.0,2825.0,7,2024,5,981,30501,30501
142,2533.0,2315.5,2614.0,7,2024,4,981,30501,30501
143,2899.0,2899.0,2901.0,7,2024,3,981,30501,30501
144,2699.0,2699.0,2699.0,7,2024,2,981,30501,30501
145,2631.5,2630.5,2668.5,7,2024,1,981,30501,30501
146,2700.0,2600.0,2833.0,6,2024,28,981,30501,30501
147,2697.0,2301.0,2920.0,6,2024,27,981,30501,30501
148,2840.0,2329.0,3080.0,6,2024,26,981,30501,30501
149,2471.5,2355.0,2645.0,6,2024,25,981,30501,30501
150,2500.0,2500.0,2500.0,6,2024,24,981,30501,30501
151,2700.0,2700.0,2700.0,6,2024,21,981,30501,30501
152,2625.0,2550.0,2781.0,6,2024,20,981,30501,30501
153,2632.5,2359.0,2895.0,6,2024,11,981,30501,30501
154,2439.0,2230.0,2587.5,6,2024,10,981,30501,30501
155,2550.0,2325.5,2799.0,6,2024,7,981,30501,30501
156,2600.0,2451.0,2722.0,6,2024,6,981,30501,30501
157,2660.5,2425.5,2742.5,6,2024,5,981,30501,30501
158,2752.0,2670.0,2786.0,6,2024,4,981,30501,30501
159,2600.0,2376.5,2723.5,6,2024,3,981,30501,30501
160,2601.0,2430.5,2792.5,5,2024,31,981,30501,30501
161,2650.0,2489.0,2850.5,5,2024,30,981,30501,30501
162,2608.0,2350.0,2844.0,5,2024,29,981,30501,30501
163,2600.0,2340.0,2839.0,5,2024,28,981,30501,30501
164,2373.5,2175.0,2612.5,5,2024,27,981,30501,30501
165,2637.5,2370.5,2846.0,5,2024,24,981,30501,30501
166,2600.5,2450.0,2769.0,5,2024,21,981,30501,30501
167,2454.0,2233.0,2730.33,5,2024,20,981,30501,30501
168,2665.0,2443.0,2830.5,5,2024,17,981,30501,30501
169,2601.0,2300.0,2925.5,5,2024,16,981,30501,30501
170,2604.5,2262.5,2810.5,5,2024,15,981,30501,30501
171,2645.0,2229.5,2805.5,5,2024,14,981,30501,30501
172,2607.0,2300.0,2781.0,5,2024,9,981,30501,30501
173,2647.67,2533.67,2785.33,5,2024,8,981,30501,30501
174,2647.5,2527.0,2850.0,5,2024,7,981,30501,30501
175,2550.0,2307.5,2850.0,5,2024,6,981,30501,30501
176,2567.0,2292.0,2847.0,5,2024,3,981,30501,30501
177,2613.0,2475.0,2671.0,5,2024,2,981,30501,30501
178,2631.0,2551.0,2716.0,4,2024,29,981,30501,30501
179,2400.0,2300.0,2500.0,4,2024,27,981,30501,30501
180,2775.0,2300.0,3062.0,4,2024,26,981,30501,30501
181,2616.0,2400.0,2811.0,4,2024,25,981,30501,30501
182,2601.0,2540.0,2720.0,4,2024,24,981,30501,30501
183,2563.0,2299.5,2709.0,4,2024,23,981,30501,30501
184,2450.0,2100.0,2863.0,4,2024,22,981,30501,30501
185,2590.0,2183.0,2785.0,4,2024,15,981,30501,30501
186,2455.33,2368.67,2541.67,4,2024,6,981,30501,30501
187,2542.75,2407.0,2659.75,4,2024,5,981,30501,30501
188,2610.5,2416.0,2738.5,4,2024,3,981,30501,30501
189,2638.33,2342.33,2783.33,4,2024,2,981,30501,30501
190,2500.67,2404.0,2640.67,4,2024,1,981,30501,30501
191,2600.0,2500.0,2660.0,3,2024,30,981,30501,30501
192,2650.0,2576.0,2735.0,3,2024,29,981,30501,30501
193,2526.0,2271.0,2741.0,3,2024,28,981,30501,30501
194,2552.5,2350.0,2653.0,3,2024,27,981,30501,30501
195,2580.0,2387.0,2730.5,3,2024,26,981,30501,30501
196,2494.0,2304.0,2597.33,3,2024,22,981,30501,30501
197,2497.33,2303.33,2609.67,3,2024,21,981,30501,30501
198,2557.0,2433.33,2632.67,3,2024,20,981,30501,30501
199,2350.0,2300.0,2400.0,3,2024,19,981,30501,30501
200,2535.25,2295.25,2706.25,3,2024,18,981,30501,30501
201,2562.67,2343.67,2713.33,3,2024,15,981,30501,30501
202,2495.0,2200.0,2646.0,3,2024,14,981,30501,30501
203,2539.0,2412.5,2646.0,3,2024,13,981,30501,30501
204,2550.0,2290.0,2725.5,3,2024,12,981,30501,30501
205,2522.33,2319.0,2716.0,3,2024,11,981,30501,30501
206,2455.5,2387.5,2535.5,3,2024,6,981,30501,30501
207,2374.0,2213.67,2470.33,3,2024,5,981,30501,30501
208,2397.5,2185.5,2563.0,3,2024,4,981,30501,30501
209,2530.0,2150.0,2625.0,3,2024,1,981,30501,30501
210,2385.5,2135.0,2587.75,2,2024,29,981,30501,30501
211,2423.33,2192.33,2584.0,2,2024,28,981,30501,30501
212,2400.0,2151.0,2612.0,2,2024,27,981,30501,30501
213,2530.5,2354.0,2636.0,2,2024,26,981,30501,30501
214,2300.0,2200.0,2500.0,2,2024,24,981,30501,30501
215,2395.5,2162.5,2413.0,2,2024,23,981,30501,30501
216,2625.0,2299.0,2761.0,2,2024,22,981,30501,30501
217,2531.0,2511.0,2571.0,2,2024,21,981,30501,30501
218,2452.33,1835.33,2709.0,2,2024,20,981,30501,30501
219,2437.5,2096.5,2825.5,2,2024,15,981,30501,30501
220,2375.0,2000.0,2771.0,2,2024,14,981,30501,30501
221,2347.0,2060.5,2933.5,2,2024,13,981,30501,30501
222,2575.5,2250.0,2938.5,2,2024,12,981,30501,30501
223,2280.0,2200.0,2500.0,2,2024,10,981,30501,30501
224,2533.5,2275.0,2875.5,2,2024,9,981,30501,30501
225,2616.0,2230.5,2870.0,2,2024,8,981,30501,30501
226,2638.0,2303.0,2850.0,2,2024,7,981,30501,30501
227,2750.5,2258.5,3077.5,2,2024,6,981,30501,30501
228,2575.0,2300.0,2851.0,2,2024,5,981,30501,30501
229,2737.5,2175.5,3111.5,2,2024,2,981,30501,30501
230,2613.0,2425.5,2873.5,2,2024,1,981,30501,30501
231,2500.0,2300.0,3141.0,1,2024,31,981,30501,30501
232,2750.0,2426.0,3075.0,1,2024,30,981,30501,30501
233,2274.5,2150.0,2500.0,1,2024,29,981,30501,30501
234,2336.0,2200.0,2510.0,1,2024,27,981,30501,30501
235,3050.0,2275.0,3333.0,1,2024,25,981,30501,30501
236,2810.0,2350.0,3155.0,1,2024,24,981,30501,30501
237,2737.5,2255.0,3045.5,1,2024,23,981,30501,30501
238,2549.5,2381.0,3015.5,1,2024,18,981,30501,30501
239,2600.0,2333.5,2953.5,1,2024,17,981,30501,30501
240,3170.0,3170.0,3170.0,1,2024,16,981,30501,30501
241,2760.0,2290.0,3000.0,1,2024,12,981,30501,30501
242,2650.0,2311.0,3100.0,1,2024,11,981,30501,30501
243,2724.5,2286.0,3088.5,1,2024,10,981,30501,30501
244,2575.0,2162.5,3032.5,1,2024,9,981,30501,30501
245,2675.0,2300.0,3031.0,1,2024,8,981,30501,30501
246,2775.5,2600.5,2956.5,1,2024,5,981,30501,30501
247,2400.0,2200.0,2596.0,1,2024,4,981,30501,30501
248,2637.5,2299.5,3075.0,1,2024,3,981,30501,30501
